Dataset	MAG	Superkindom	Phylumn	Class	Order	Family	Genu	Species	Completeness	Contamination	Size (bp)	Total_cds	Category_L	Percentage
DSGC	FDZ060-HbR22-24 (OES00301551)_bin.60	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__B3T1B10	s__	96.63	2.197	3992166	3796	175	0.0461
DSGC	FDZ060-HbR2-4 (OES00301552)_bin.13	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Stutzerimonas	s__	99.59	0.136	4561383	4222	185	0.0438
DSGC	FDZ060-HbY0-2 (OES00301554)_bin.49	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales_A	f__Casp-alpha2	g__Casp-alpha2	s__Casp-alpha2	96.64	0	2501806	2527	99	0.0392
DSGC	FDZ060-HbY12-14 (OES00301555)_bin.101	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales_A	f__NORP154	g__	s__	96.12	1.093	3570085	2852	123	0.0431
DSGC	FDZ060-HbY12-14 (OES00301555)_bin.104	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SAR202	f__UBA11138	g__	s__	98.67	3.278	6144498	6028	343	0.0569
DSGC	FDZ060-HbY12-14 (OES00301555)_bin.31	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA4486	f__UBA4486	g__	s__	93.89	1.722	2873417	3148	241	0.0766
DSGC	FDZ060-HbY12-14 (OES00301555)_bin.64	d__Bacteria	p__Sumerlaeota	c__Sumerlaeia	o__MVZB01	f__JAJFLK01	g__	s__	94.5	1.123	4008638	3464	152	0.0439
DSGC	FDZ060-HbY14-16 (OES00301556)_bin.135	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__UBA4427	s__	92.25	1.29	4332638	4037	167	0.0414
DSGC	FDZ060-HbY14-16 (OES00301556)_bin.52	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__UBA8416	f__JAIOPI01	g__	s__	95.27	4.504	4022212	3854	190	0.0493
DSGC	FDZ060-HbY14-16 (OES00301556)_bin.55	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__	s__	98.78	2.298	6190020	5398	272	0.0504
DSGC	FDZ060-HbY14-16 (OES00301556)_bin.69	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__SCGC-AAA003-L08	f__TS1B11	g__TS1B11	s__	93.4	2.197	2322405	2117	89	0.042
DSGC	FDZ060-HbY14-16 (OES00301556)_bin.92	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__JACQBZ01	f__JACQBZ01	g__	s__	92.6	0.909	1839501	1973	109	0.0552
DSGC	FDZ060-HbY14-16 (OES00301556)_bin.9	d__Bacteria	p__Omnitrophota	c__Koll11	o__1-14-0-20-64-10	f__1-14-0-20-64-10	g__JACQCH01	s__	90.73	1.075	1693152	1671	68	0.0407
DSGC	FDZ060-HbY16-18 (OES00301557)_bin.39	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__JAAXIE01	g__JAAXIE01	s__	94.22	1.98	2695280	2843	135	0.0475
DSGC	FDZ060-HbY16-18 (OES00301557)_bin.82	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__UBA1565	f__UBA9628	g__	s__	90.46	0.374	3598204	3569	143	0.0401
DSGC	FDZ060-HbY16-18 (OES00301557)_bin.90	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__	g__	s__	92.72	3.636	4192206	3928	213	0.0542
DSGC	FDZ060-HbY4-6 (OES00301563)_bin.90	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__JACQBZ01	f__JACQBZ01	g__	s__	93.8	3.03	2176410	2253	116	0.0515
DSGC	FDZ060-NsD1 (OES00301566)_bin.4	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__KS3-K002	f__JABDQB01	g__	s__	92.3	2.197	1827314	1810	82	0.0453
DSGC	FDZ060-NsD1 (OES00301566)_bin.52	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium	90.09	2.085	2879585	3241	127	0.0392
DSGC	FDZ060-NsD1 (OES00301566)_bin.77	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__JADFOJ01	s__JADFOJ01	91.63	1.239	3057287	2971	138	0.0464
DSGC	FDZ060-RRBkNs (OES00301572)_bin.15	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__B3T1B10	s__B3T1B10	97.73	0.549	3110166	3026	174	0.0575
DSGC	FDZ060-RRBkNs (OES00301572)_bin.74	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Bin61	f__SMYC01	g__	s__	96.15	2.564	6261365	6195	460	0.0743
DSGC	FDZ060-WuYYNs (OES00301574)_bin.38	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__20CM-2-55-15	f__20CM-2-55-15	g__	s__	92.13	0.512	3383462	3718	171	0.046
DSGC	FDZ061-WW10-12 (OES00301576)_bin.21	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__UBA1845	g__G020350565	s__	92.61	3.977	5070835	4272	282	0.066
DSGC	FDZ061-WW10-12 (OES00301576)_bin.23	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__CAIVHJ01	g__JACZTW01	s__	96.59	0	4339607	3750	254	0.0677
DSGC	FDZ061-WW10-12 (OES00301576)_bin.49	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__JAKISE01	s__	93.55	0.744	4032497	3732	194	0.052
DSGC	FDZ061-WW10-12 (OES00301576)_bin.75	d__Bacteria	p__Omnitrophota	c__Koll11	o__Aquiviventales	f__Aquiviventaceae	g__	s__	90.5	1.075	1955620	1974	107	0.0542
DSGC	FDZ061-WW10-12 (OES00301576)_bin.94	d__Bacteria	p__Omnitrophota	c__Koll11	o__Aquiviventales	f__Aquiviventaceae	g__JAHFGY01	s__	90.08	1.433	2290233	2329	119	0.0511
DSGC	FDZ061-WW12-14 (OES00301577)_bin.101	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__SMXR01	g__JACZSK01	s__	93.05	1.391	3280900	3126	172	0.055
DSGC	FDZ061-WW12-14 (OES00301577)_bin.57	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA5793	g__	s__	93.8	0	3865958	3616	156	0.0431
DSGC	FDZ061-WW12-14 (OES00301577)_bin.68	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__SMXR01	g__JACZYI01	s__	91.03	2.039	2025948	2104	104	0.0494
DSGC	FDZ061-WW12-14 (OES00301577)_bin.79	d__Bacteria	p__Acidobacteriota	c__UBA890	o__UBA890	f__WLXD01	g__JACZXM01	s__	90.59	0.854	3462670	3230	166	0.0514
DSGC	FDZ061-WW12-14 (OES00301577)_bin.87	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__UBA9611	s__	93.82	0.99	3379169	3324	145	0.0436
DSGC	FDZ061-WW16-18 (OES00301579)_bin.14	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__JACVQG01	f__JAHKAY01	g__	s__	91.74	1.98	1936669	2216	116	0.0523
DSGC	FDZ061-WW16-18 (OES00301579)_bin.176	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__	g__	s__	93.03	1.149	3349595	2874	165	0.0574
DSGC	FDZ061-WW16-18 (OES00301579)_bin.182	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__JAJRTA01	s__	95.05	1.648	4073901	4035	212	0.0525
DSGC	FDZ061-WW16-18 (OES00301579)_bin.235	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__F082	g__GCA-002708315	s__	93.27	1.075	3225201	2932	223	0.0761
DSGC	FDZ061-WW16-18 (OES00301579)_bin.239	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Longimicrobiales	f__UBA6960	g__UBA822	s__	93.34	1.098	2621328	2690	168	0.0625
DSGC	FDZ061-WW16-18 (OES00301579)_bin.247	d__Bacteria	p__Acidobacteriota	c__UBA6911	o__RPQK01	f__RPQK01	g__	s__	95.24	3.49	3595193	3340	155	0.0464
DSGC	FDZ061-WW16-18 (OES00301579)_bin.52	d__Bacteria	p__Omnitrophota	c__Koll11	o__SKK-01	f__SKK-01	g__	s__	91.25	1.075	1864427	1646	82	0.0498
DSGC	FDZ061-WW18-20 (OES00301580)_bin.106	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Elusimicrobiales	f__	g__	s__	92.63	1.123	2675742	2485	109	0.0439
DSGC	FDZ061-WW18-20 (OES00301580)_bin.110	d__Bacteria	p__Planctomycetota	c__Brocadiia	o__CAIUPP01	f__CAIUPP01	g__	s__	94.31	1.756	2343004	2308	113	0.049
DSGC	FDZ061-WW18-20 (OES00301580)_bin.126	d__Bacteria	p__Spirochaetota	c__JAHITG01	o__JAHITG01	f__JAHITG01	g__	s__	91.01	0	3833019	3561	191	0.0536
DSGC	FDZ061-WW18-20 (OES00301580)_bin.128	d__Bacteria	p__Omnitrophota	c__Koll11	o__JABMRJ01	f__JABMRJ01	g__	s__	95.09	0	2013456	1832	90	0.0491
DSGC	FDZ061-WW18-20 (OES00301580)_bin.12	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__UBA8416	f__JAIOPI01	g__	s__	94.59	3.716	3820126	3707	183	0.0494
DSGC	FDZ061-WW18-20 (OES00301580)_bin.130	d__Bacteria	p__Desulfobacterota	c__Desulfarculia	o__Adiutricales	f__JAFDHD01	g__	s__	92.58	2.15	3456650	3373	144	0.0427
DSGC	FDZ061-WW18-20 (OES00301580)_bin.134	d__Bacteria	p__Hydrogenedentota	c__Hydrogenedentia	o__Hydrogenedentiales	f__SLHB01	g__	s__	92.3	0.199	4717437	3957	195	0.0493
DSGC	FDZ061-WW18-20 (OES00301580)_bin.147	d__Bacteria	p__Omnitrophota	c__Koll11	o__SKK-01	f__SKK-01	g__JAHJBY01	s__	96.77	0	1532167	1518	77	0.0507
DSGC	FDZ061-WW18-20 (OES00301580)_bin.165	d__Bacteria	p__Planctomycetota	c__MHYJ01	o__JACQXL01	f__JACQZI01	g__	s__	93.11	0	1958668	1857	93	0.0501
DSGC	FDZ061-WW18-20 (OES00301580)_bin.169	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SM23-33	f__SM23-33	g__	s__	97.72	1.136	4592755	3836	170	0.0443
DSGC	FDZ061-WW18-20 (OES00301580)_bin.17	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__DSM-27196	f__SLST01	g__JAHOYX01	s__	98.4	3.466	3619452	3699	279	0.0754
DSGC	FDZ061-WW18-20 (OES00301580)_bin.203	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SM23-33	f__SM23-33	g__	s__	93.75	0	3160524	2829	114	0.0403
DSGC	FDZ061-WW18-20 (OES00301580)_bin.218	d__Bacteria	p__4484-113	c__JAJVIF01	o__	f__	g__	s__	95.44	2.564	3851870	3133	136	0.0434
DSGC	FDZ061-WW18-20 (OES00301580)_bin.242	d__Bacteria	p__Omnitrophota	c__Koll11	o__SKK-01	f__SKK-01	g__	s__	94.08	1.075	1283637	1221	65	0.0532
DSGC	FDZ061-WW18-20 (OES00301580)_bin.256	d__Bacteria	p__Omnitrophota	c__Koll11	o__SKK-01	f__SKK-01	g__	s__	94.08	0	1485300	1411	67	0.0475
DSGC	FDZ061-WW18-20 (OES00301580)_bin.51	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__Marinisomatales	f__TCS55	g__	s__	91.75	1.098	2208475	2194	101	0.046
DSGC	FDZ061-WW18-20 (OES00301580)_bin.55	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Fen-1064	g__	s__	90.75	0.99	2770911	2761	167	0.0605
DSGC	FDZ061-WW18-20 (OES00301580)_bin.64	d__Bacteria	p__SM23-31	c__SM23-31	o__SM23-31	f__SM23-31	g__SM23-31	s__	97.73	4.578	3568531	3009	158	0.0525
DSGC	FDZ061-WW18-20 (OES00301580)_bin.7	d__Bacteria	p__Planctomycetota	c__DG-23	o__SLPQ01	f__	g__	s__	94.62	2.688	2688045	2530	125	0.0494
DSGC	FDZ061-WW20-22 (OES00301581)_bin.23	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__UBA2156	g__UBA2156	s__	96.45	0.645	3071795	3086	194	0.0629
DSGC	FDZ061-WW20-22 (OES00301581)_bin.44	d__Bacteria	p__Planctomycetota	c__PUPC01	o__	f__	g__	s__	96.77	2.688	1983636	2046	121	0.0591
DSGC	FDZ061-WW22-24 (OES00301582)_bin.1	d__Bacteria	p__Aerophobota	c__Aerophobia	o__Aerophobales	f__AE-B3A	g__AE-B3A	s__	90.63	0	1632091	1730	111	0.0642
DSGC	FDZ061-WW24-26 (OES00301584)_bin.15	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__	s__	95.23	0	3399861	3124	172	0.0551
DSGC	FDZ061-WW24-26 (OES00301584)_bin.53	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__UBA6898	g__JAJRYC01	s__	91.81	0	1630215	1743	89	0.0511
DSGC	FDZ061-WW28-30 (OES00301586)_bin.112	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__JAABPS01	g__	s__	98.06	0.645	4530331	4332	226	0.0522
DSGC	FDZ061-WW28-30 (OES00301586)_bin.24	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Sedimentisphaerales	f__SG8-4	g__CAJVYK01	s__	96.02	3.676	2231437	2101	89	0.0424
DSGC	FDZ061-WW28-30 (OES00301586)_bin.8	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__UBA6902	f__BMS3Bbin08	g__	s__	96.31	0.227	1783706	1820	91	0.05
DSGC	FDZ061-WW32-34 (OES00301588)_bin.36	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__B3T1B10	s__B3T1B10	96.63	0.549	2533874	2694	235	0.0872
DSGC	FDZ061-WW6-8 (OES00301590)_bin.78	d__Bacteria	p__Planctomycetota	c__SZUA-567	o__H5-PLA8	f__	g__	s__	98.92	3.763	5809675	4614	218	0.0472
DSGC	FDZ061-WW6-8 (OES00301590)_bin.83	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__JACZUZ01	g__JADFNA01	s__	92.69	1.712	2799101	2650	120	0.0453
DSGC	FDZ061-WW8-10 (OES00301591)_bin.45	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__UBA11236	f__JADFYW01	g__	s__	91.14	3.361	4695003	4862	222	0.0457
DSGC	FDZ061-WW8-10 (OES00301591)_bin.46	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR4	g__GCA-2686855	s__	90.18	0.934	1355371	1580	86	0.0544
DSGC	FDZ061-WW8-10 (OES00301591)_bin.4	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__	s__	92.24	1.198	2954063	2749	126	0.0458
DSGC	FDZ061-WW8-10 (OES00301591)_bin.68	d__Bacteria	p__Planctomycetota	c__SZUA-567	o__H5-PLA8	f__	g__	s__	91.39	1.612	5145993	4408	230	0.0522
DSGC	FDZ062-GYBe14-16 (OES00301595)_bin.16	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__SBBL01	f__JAADHI01	g__DUAG01	s__	90.34	0.959	2320178	2582	224	0.0868
DSGC	FDZ062-GYBe14-16 (OES00301595)_bin.30	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SAR202	f__UBA11138	g__JADFKI01	s__	97.68	2.376	3677889	3471	167	0.0481
DSGC	FDZ062-GYBe14-16 (OES00301595)_bin.39	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__UBA1845	g__JADFRH01	s__	95.45	0	4546046	4122	311	0.0754
DSGC	FDZ062-GYBe14-16 (OES00301595)_bin.40	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__CAIVHJ01	g__JACZTW01	s__JACZTW01	97.72	1.203	4558837	4038	271	0.0671
DSGC	FDZ062-GYBe14-16 (OES00301595)_bin.44	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__JADFGU01	s__	97.72	1.136	3057655	2675	123	0.046
DSGC	FDZ062-GYBe26-28 (OES00301598)_bin.3	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__JADFSH01	s__JADFSH01	97.72	1.704	4349773	3873	214	0.0553
DSGC	FDZ062-GYBe26-28 (OES00301598)_bin.6	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__UBA9611	s__UBA9611	95.34	1.368	3035067	3078	137	0.0445
DSGC	FDZ062-GYBe26-28 (OES00301598)_bin.7	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales_A	f__2-02-FULL-58-16	g__JACZQZ01	s__JACZQZ01	90.92	4.436	3066941	3104	170	0.0548
DSGC	FDZ062-GYBe6-8 (OES00301600)_bin.26	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Acidoferrales	f__2-02-FULL-67-57	g__JACZYA01	s__	95.03	1.933	2858081	2774	115	0.0415
DSGC	FDZ062-GYBe6-8 (OES00301600)_bin.29	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__DSTF01	f__RBG-16-68-14	g__SZUA-185	s__SZUA-185	97.68	1.98	3258188	3241	126	0.0389
DSGC	FDZ062-GYBe6-8 (OES00301600)_bin.49	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__GCA-2721545	s__GCA-2721545	95.07	0	2184607	2235	152	0.068
DSGC	FDZ062-GYBe6-8 (OES00301600)_bin.74	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio	99.86	0.633	4519277	3991	170	0.0426
DSGC	FDZ062-GYBk28-30 (OES00301604)_bin.2	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__SCGC-AAA003-L08	f__TS1B11	g__JADFSS01	s__	96.7	2.197	2570728	2343	115	0.0491
DSGC	FDZ062-GYBk4-6 (OES00301605)_bin.14	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__CAIYRG01	s__	90.86	0.434	1952658	1950	121	0.0621
DSGC	FDZ062-GYBk4-6 (OES00301605)_bin.52	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__UBA1845	g__	s__	97.72	0.852	4500070	3893	234	0.0601
DSGC	FDZ062-GYBk4-6 (OES00301605)_bin.90	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__JACZUZ01	g__JACZUZ01	s__	98.83	2.362	3371287	2824	135	0.0478
DSGC	FDZ062-GYBk8-10 (OES00301606)_bin.125	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__NVTR01	s__	92.68	1.196	3147733	3350	256	0.0764
DSGC	FDZ062-GYBk8-10 (OES00301606)_bin.49	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pseudorhizobium	s__Pseudorhizobium	96.47	1.876	4003007	3961	145	0.0366
DSGC	FDZ062-GYBk8-10 (OES00301606)_bin.61	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__JADFFQ01	s__	92.04	4.715	3369774	3198	195	0.061
DSGC	FDZ062-GYBk8-10 (OES00301606)_bin.75	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__	f__	g__	s__	96.23	1.098	3567501	3332	201	0.0603
DSGC	FDZ062-RRR0-2 (OES00301608)_bin.61	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__JALJPB01	s__	94.67	2.674	2911477	2657	161	0.0606
DSGC	FDZ062-RRR0-2 (OES00301608)_bin.81	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Psychrobiaceae	g__Psychrobium	s__	92.34	0.108	3654656	3466	168	0.0485
DSGC	FDZ062-RRR10-12 (OES00301609)_bin.12	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__JADFNO01	s__	97.72	0.568	4089579	3687	236	0.064
DSGC	FDZ062-RRR12-14 (OES00301610)_bin.18	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__	s__	91.24	0.064	2504351	2419	95	0.0393
DSGC	FDZ062-RRR12-14 (OES00301610)_bin.33	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__JACQTT01	f__JACQTT01	g__	s__	93.23	2.178	2050676	2222	110	0.0495
DSGC	FDZ062-RRR14-16 (OES00301611)_bin.17	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__DRGT01	s__DRGT01	99.02	0	1949194	2399	128	0.0534
DSGC	FDZ062-RRR14-16 (OES00301611)_bin.26	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__SCGC-AAA003-L08	f__TS1B11	g__JADFNF01	s__	95.6	1.098	2859250	2733	150	0.0549
DSGC	FDZ062-RRR14-16 (OES00301611)_bin.29	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__	s__	94.5	0	3156259	2992	155	0.0518
DSGC	FDZ062-RRR14-16 (OES00301611)_bin.36	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__UBA1845	g__JADFMZ01	s__	93.18	0	4416163	3823	278	0.0727
DSGC	FDZ062-RRR14-16 (OES00301611)_bin.3	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SAR202	f__UBA11138	g__JADFKI01	s__	90.42	2.574	3401491	3750	186	0.0496
DSGC	FDZ062-RRR18-20 (OES00301613)_bin.8	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__PALSA-1355	g__	s__	98.78	0.208	5754265	4886	255	0.0522
DSGC	FDZ062-RRR18-20 (OES00301613)_bin.9	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__UBA9611	s__	95.21	2.145	3106684	3091	137	0.0443
DSGC	FDZ062-RRR2-4 (OES00301616)_bin.14	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Psychrobiaceae	g__Psychrobium	s__	100	1.099	3341517	3148	181	0.0575
DSGC	FDZ062-RRR28-30 (OES00301619)_bin.4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__VRUD01	g__VRUD01	s__	91.84	2.076	4404465	4160	200	0.0481
DSGC	FDZ062-RRR28-30 (OES00301619)_bin.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales_A	f__NORP154	g__	s__	94.19	2.063	4733554	3664	170	0.0464
DSGC	FDZ062-RRR4-6 (OES00301623)_bin.19	d__Bacteria	p__JADFOP01	c__JADFOP01	o__JADFOP01	f__JADFOP01	g__JADFOP01	s__JADFOP01	90.52	0	2235532	2253	108	0.0479
DSGC	FDZ062-WuWW14-16 (OES00301634)_bin.8	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__Marinisomatales	f__SCKK01	g__SCKK01	s__	95.6	0	3105004	3109	171	0.055
DSGC	FDZ062-WuWW2-4 (OES00301638)_bin.10	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__SCGC-AAA003-L08	f__TS1B11	g__TS1B11	s__	95.6	2.197	2131381	2140	98	0.0458
DSGC	FDZ062-WuWW4-6 (OES00301641)_bin.45	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__JACZTA01	g__	s__	96.17	1.93	3743595	3250	173	0.0532
DSGC	FDZ062-WuWW6-8 (OES00301642)_bin.11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__JACZTA01	g__	s__	96.72	0.273	3705390	3250	158	0.0486
DSGC	FDZ062-WuWW6-8 (OES00301642)_bin.22	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__JACZUZ01	g__JADFNA01	s__	95.53	1.648	2821850	2562	161	0.0628
DSGC	FDZ062-WuWW6-8 (OES00301642)_bin.30	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__GCA-020350865	f__	g__	s__	96.26	1.2	3699437	2966	124	0.0418
DSGC	FDZ062-WuYW0-2 (OES00301645)_bin.105	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__JADFKK01	g__	s__	96.55	1.149	4607820	4034	195	0.0483
DSGC	FDZ062-WuYW0-2 (OES00301645)_bin.76	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CAIVPW01	f__CAIVPW01	g__JABHVE01	s__	93.9	1.075	2056876	2137	109	0.051
DSGC	FDZ062-WuYW0-2 (OES00301645)_bin.90	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__JACZUZ01	g__JADFNA01	s__	96.63	1.098	3118787	2571	148	0.0576
DSGC	FDZ062-WuYW10-12 (OES00301646)_bin.3	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__JACZRS01	s__	97.72	1.704	4541136	4001	202	0.0505
DSGC	FDZ062-WuYW2-4 (OES00301650)_bin.52	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__Chlamydiales	f__SM23-39	g__JACQAR01	s__	91.04	2.027	1513903	1520	122	0.0803
DSGC	FDZ062-WuYW2-4 (OES00301650)_bin.70	d__Bacteria	p__Bacteroidota	c__Rhodothermia	o__Rhodothermales	f__UBA10348	g__JACZYK01	s__JACZYK01	95.62	1.93	2744267	2517	109	0.0433
DSGC	FDZ063-WW0-2 (OES00301653)_bin.10	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__BMS3BBIN02	s__	98.71	0.427	2102372	2278	101	0.0443
DSGC	FDZ063-WW0-2 (OES00301653)_bin.21	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__JAAELT01	s__	90.59	1.88	8209425	7043	396	0.0562
DSGC	FDZ063-YBkR2-4 (OES00301659)_bin.46	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__CAJXVU01	s__	98.34	1.716	3646998	3366	242	0.0719
DSGC	FDZ064-BaGW12-14 (OES00301663)_bin.45	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__JAFGIB01	g__	s__	91.29	0.668	7155164	6107	335	0.0549
