GeneCluster	RGC	REG_rate	Mem
DSM_0047533567	DS	0.09 	35
DSM_0227832495	DS	0.09 	140
DSM_0275886819	DS	0.09 	70
DSM_0282129555	DS	0.09 	35
DSM_0059179144	DS	0.09 	35
DSM_0404341664	DS	0.09 	105
DSM_0143422816	DS	0.09 	292
DSM_0334887690	DS	0.09 	187
DSM_0131284287	DS	0.09 	187
DSM_0320863694	DS	0.09 	117
DSM_0253863591	DS	0.09 	339
DSM_0170423621	DS	0.09 	339
DSM_0131001722	DS	0.09 	433
DSM_0217337825	DS	0.09 	269
Soil_0042991952	DS	0.09 	281
DSM_0272243131	DS	0.09 	129
OM-RGC.v2.000199367	DS	0.09 	176
Soil_0031016817	DS	0.09 	223
DSM_0000996546	DS	0.09 	364
DSM_0096577199	DS	0.09 	223
DSM_0382558686	DS	0.09 	47
DSM_0032173599	DS	0.09 	329
DSM_0003109221	DS	0.09 	94
DSM_0212468530	DS	0.09 	94
DSM_0332710381	DS	0.09 	94
OM-RGC.v2.044076281	DS	0.09 	94
DSM_0421412351	DS	0.09 	141
OM-RGC.v2.044812155	DS	0.09 	47
DSM_0481717689	DS	0.09 	47
DSM_0463488044	DS	0.09 	47
DSM_0016171220	DS	0.08 	271
DSM_0215691398	DS	0.08 	106
DSM_0096165976	DS	0.08 	59
Soil_0084384395	DS	0.08 	366
OM-RGC.v2.031488077	DS	0.08 	236
DSM_0168661569	DS	0.08 	366
DSM_0075032460	DS	0.08 	118
Soil_0089417131	DS	0.08 	59
Soil_0072184337	DS	0.08 	59
Soil_0027744129	DS	0.08 	118
DSM_0187027536	DS	0.08 	473
OM-RGC.v2.033994229	DS	0.08 	201
Soil_0122135530	DS	0.08 	71
DSM_0187737353	DS	0.08 	284
Soil_0076201439	DS	0.08 	237
DSM_0108948538	DS	0.08 	320
DSM_0168676710	DS	0.08 	320
DSM_0173327863	DS	0.08 	261
DSM_0257734920	DS	0.08 	83
Soil_0106519257	DS	0.08 	83
DSM_0115865369	DS	0.08 	202
DSM_0489721340	DS	0.08 	95
DSM_0338780719	DS	0.08 	95
Soil_0067213614	DS	0.08 	95
DSM_0313643681	DS	0.08 	297
DSM_0112582905	DS	0.08 	297
DSM_0233046402	DS	0.08 	131
DSM_0204622041	DS	0.08 	119
DSM_0198090925	DS	0.08 	250
DSM_0450396720	DS	0.08 	131
DSM_0241297800	DS	0.08 	143
DSM_0096181069	DS	0.08 	143
DSM_0031523564	DS	0.08 	143
DSM_0464684287	DS	0.08 	346
Soil_0112174525	DS	0.08 	203
Soil_0146615036	DS	0.08 	251
Soil_0105144425	DS	0.08 	275
DSM_0275358203	DS	0.08 	72
DSM_0394959525	DS	0.08 	12
DSM_0399797383	DS	0.08 	12
DSM_0061054060	DS	0.08 	24
Soil_0133113731	DS	0.08 	12
DSM_0394220807	DS	0.08 	24
DSM_0013655471	DS	0.08 	36
Soil_0150300014	DS	0.08 	12
DSM_0066498313	DS	0.08 	264
OM-RGC.v2.000259013	DS	0.08 	12
DSM_0403480653	DS	0.08 	156
OM-RGC.v2.018572318	DS	0.08 	12
DSM_0490324391	DS	0.08 	12
Soil_0038294592	DS	0.08 	168
DSM_0373488658	DS	0.08 	96
DSM_0170265155	DS	0.08 	36
DSM_0139621357	DS	0.08 	12
Soil_0000901338	DS	0.08 	12
Soil_0113422343	DS	0.08 	12
Soil_0022950966	DS	0.08 	12
Soil_0094527364	DS	0.08 	36
Soil_0132312877	DS	0.08 	24
Soil_0139068930	DS	0.08 	24
DSM_0236641348	DS	0.08 	36
DSM_0369985608	DS	0.08 	120
Soil_0104979214	DS	0.08 	36
OM-RGC.v2.009569917	DS	0.08 	313
DSM_0024558647	DS	0.08 	181
DSM_0347144477	DS	0.08 	386
DSM_0439781548	DS	0.08 	133
Soil_0074867312	DS	0.08 	399
OM-RGC.v2.033046442	DS	0.08 	109
DSM_0237574750	DS	0.08 	121
Soil_0058043366	DS	0.08 	194
DSM_0387003006	DS	0.08 	85
DSM_0322701916	DS	0.08 	255
DSM_0274212353	DS	0.08 	461
OM-RGC.v2.012495286	DS	0.08 	85
DSM_0051139076	DS	0.08 	389
DSM_0045592837	DS	0.08 	316
DSM_0444932666	DS	0.08 	316
DSM_0392947580	DS	0.08 	146
DSM_0200304376	DS	0.08 	73
DSM_0071785819	DS	0.08 	73
Soil_0058607077	DS	0.08 	146
DSM_0256738868	DS	0.08 	73
DSM_0128696093	DS	0.08 	341
DSM_0107066320	DS	0.08 	195
DSM_0296020359	DS	0.08 	268
DSM_0126593495	DS	0.08 	244
Soil_0079111205	DS	0.08 	61
DSM_0127529969	DS	0.08 	305
DSM_0202950821	DS	0.08 	244
DSM_0149814346	DS	0.08 	61
Soil_0040594706	DS	0.08 	122
DSM_0011066392	DS	0.08 	183
DSM_0056808222	DS	0.08 	354
DSM_0404906402	DS	0.08 	110
DSM_0100384398	DS	0.08 	110
DSM_0243137249	DS	0.08 	220
Soil_0008578421	DS	0.08 	489
DSM_0065530095	DS	0.08 	367
OM-RGC.v2.033539718	DS	0.08 	49
DSM_0106836254	DS	0.08 	98
Soil_0148202144	DS	0.08 	49
DSM_0032832257	DS	0.08 	147
Soil_0152351671	DS	0.08 	49
Soil_0038807558	DS	0.08 	282
OM-RGC.v2.038341460	DS	0.08 	49
Soil_0153838854	DS	0.08 	135
Soil_0140738201	DS	0.08 	135
DSM_0428625798	DS	0.08 	221
DSM_0142657386	DS	0.08 	430
Soil_0025335113	DS	0.08 	221
Soil_0074823091	DS	0.08 	86
Soil_0128765170	DS	0.08 	258
DSM_0338866424	DS	0.08 	172
DSM_0270822696	DS	0.08 	332
Soil_0105021650	DS	0.08 	123
DSM_0082589774	DS	0.08 	123
Soil_0054953216	DS	0.08 	160
DSM_0212394270	DS	0.08 	271
DSM_0053884665	DS	0.08 	197
DSM_0293075400	DS	0.08 	37
DSM_0362967862	DS	0.08 	74
DSM_0387470619	DS	0.08 	37
Soil_0142322779	DS	0.08 	37
DSM_0265892855	DS	0.08 	37
DSM_0428793147	DS	0.08 	37
DSM_0377279583	DS	0.08 	74
DSM_0268333891	DS	0.08 	111
DSM_0085079240	DS	0.08 	37
DSM_0223429925	DS	0.08 	37
DSM_0185713229	DS	0.08 	37
DSM_0071766678	DS	0.08 	210
DSM_0372584245	DS	0.08 	358
DSM_0248043207	DS	0.08 	136
Soil_0138304920	DS	0.08 	136
DSM_0238353762	DS	0.08 	198
Soil_0016689774	DS	0.08 	99
Soil_0112382655	DS	0.08 	260
Soil_0007482947	DS	0.08 	62
DSM_0263399524	DS	0.08 	62
DSM_0481648224	DS	0.08 	62
Soil_0023374709	DS	0.08 	273
DSM_0001331280	DS	0.08 	422
DSM_0210198764	DS	0.08 	124
DSM_0017821592	DS	0.08 	174
DSM_0026850485	DS	0.08 	174
Soil_0102181553	DS	0.08 	174
DSM_0331551259	DS	0.08 	224
OM-RGC.v2.019121498	DS	0.08 	199
DSM_0500826349	DS	0.08 	137
DSM_0116621351	DS	0.08 	137
DSM_0176929588	DS	0.08 	274
DSM_0239256677	DS	0.08 	374
DSM_0464235383	DS	0.08 	412
DSM_0270876073	DS	0.08 	125
DSM_0122166136	DS	0.08 	25
OM-RGC.v2.008153878	DS	0.08 	125
DSM_0156131643	DS	0.08 	325
OM-RGC.v2.000935608	DS	0.08 	25
Soil_0151722342	DS	0.08 	25
Soil_0098483521	DS	0.08 	25
Soil_0068047016	DS	0.08 	125
Soil_0128055469	DS	0.08 	25
DSM_0268391077	DS	0.08 	25
Soil_0107437184	DS	0.08 	200
OM-RGC.v2.010655480	DS	0.08 	125
Soil_0037552068	DS	0.08 	25
DSM_0286133234	DS	0.08 	325
DSM_0104092321	DS	0.08 	100
DSM_0098349914	DS	0.08 	25
Soil_0126366087	DS	0.08 	25
DSM_0003706033	DS	0.08 	25
Soil_0109985204	DS	0.08 	363
DSM_0024124715	DS	0.08 	326
DSM_0325163225	DS	0.08 	376
Soil_0090900341	DS	0.08 	138
DSM_0315929665	DS	0.08 	377
DSM_0491113891	DS	0.08 	201
DSM_0439887171	DS	0.08 	113
Soil_0085666909	DS	0.08 	113
Soil_0156897592	DS	0.08 	88
DSM_0109512235	DS	0.08 	88
DSM_0136524814	DS	0.08 	88
Soil_0025852922	DS	0.08 	365
DSM_0289559814	DS	0.08 	88
DSM_0215305847	DS	0.08 	88
DSM_0368149630	DS	0.08 	176
Soil_0133927748	DS	0.08 	126
DSM_0382951565	DS	0.08 	277
DSM_0010900833	DS	0.08 	63
Soil_0119300694	DS	0.08 	63
DSM_0135499067	DS	0.08 	63
DSM_0131660753	DS	0.08 	353
DSM_0194528710	DS	0.08 	341
DSM_0394339398	DS	0.08 	202
DSM_0491215160	DS	0.08 	240
DSM_0365166590	DS	0.08 	253
Soil_0063037550	DS	0.08 	177
DSM_0382814274	DS	0.08 	139
Soil_0074542790	DS	0.08 	76
Soil_0127517659	DS	0.08 	76
Soil_0007557760	DS	0.08 	38
DSM_0066529336	DS	0.08 	317
Soil_0032342274	DS	0.08 	76
DSM_0219277870	DS	0.08 	76
DSM_0100563290	DS	0.08 	190
DSM_0461997154	DS	0.08 	203
Soil_0073148519	DS	0.08 	89
DSM_0189258290	DS	0.08 	127
DSM_0005612493	DS	0.08 	127
DSM_0091887497	DS	0.08 	178
DSM_0420363125	DS	0.08 	267
DSM_0394098116	DS	0.08 	254
DSM_0070735755	DS	0.08 	229
DSM_0477635877	DS	0.08 	242
DSM_0185814044	DS	0.08 	102
DSM_0340018907	DS	0.08 	102
DSM_0095777329	DS	0.08 	51
DSM_0285589575	DS	0.08 	153
DSM_0117772122	DS	0.08 	204
DSM_0065679066	DS	0.08 	51
OM-RGC.v2.000152448	DS	0.08 	102
DSM_0432303004	DS	0.08 	115
DSM_0038651805	DS	0.08 	115
Soil_0011095702	DS	0.08 	179
DSM_0359655320	DS	0.08 	435
Soil_0104464893	DS	0.08 	422
DSM_0385880529	DS	0.08 	179
Soil_0111926372	DS	0.08 	64
DSM_0360565545	DS	0.08 	64
DSM_0145973947	DS	0.08 	64
Soil_0049247587	DS	0.08 	64
DSM_0243668348	DS	0.08 	64
DSM_0321136052	DS	0.08 	128
DSM_0452760542	DS	0.08 	64
DSM_0313682619	DS	0.08 	154
Soil_0119118297	DS	0.08 	154
DSM_0117630996	DS	0.08 	308
Soil_0142613366	DS	0.08 	77
DSM_0414101200	DS	0.08 	154
OM-RGC.v2.040107266	DS	0.08 	90
DSM_0129781395	DS	0.08 	90
DSM_0438201216	DS	0.08 	167
DSM_0283627286	DS	0.08 	103
Soil_0117268142	DS	0.08 	103
DSM_0334911652	DS	0.08 	103
Soil_0082271347	DS	0.08 	103
DSM_0082137538	DS	0.08 	322
Soil_0138319889	DS	0.08 	219
DSM_0411426168	DS	0.08 	322
Soil_0145670448	DS	0.08 	129
Soil_0000334445	DS	0.08 	129
OM-RGC.v2.013635938	DS	0.08 	155
Soil_0006255258	DS	0.08 	155
Soil_0030968750	DS	0.08 	168
DSM_0212115784	DS	0.08 	207
DSM_0122786515	DS	0.08 	362
DSM_0405163203	DS	0.08 	207
DSM_0056956111	DS	0.08 	259
DSM_0305029431	DS	0.08 	246
OM-RGC.v2.015004000	DS	0.08 	39
DSM_0350770903	DS	0.08 	52
DSM_0272108157	DS	0.08 	325
DSM_0003671302	DS	0.08 	26
Soil_0096241290	DS	0.08 	169
Soil_0085398044	DS	0.08 	117
DSM_0155411458	DS	0.08 	39
Soil_0156572503	DS	0.08 	13
DSM_0306563879	DS	0.08 	26
DSM_0205036204	DS	0.08 	78
DSM_0395299248	DS	0.08 	104
DSM_0095152769	DS	0.08 	52
DSM_0181389682	DS	0.08 	156
DSM_0025943266	DS	0.08 	156
DSM_0203421039	DS	0.08 	377
DSM_0141776412	DS	0.08 	104
DSM_0414776500	DS	0.08 	26
Soil_0127029263	DS	0.08 	26
DSM_0448217754	DS	0.08 	416
DSM_0491924725	DS	0.08 	78
OM-RGC.v2.034426618	DS	0.08 	26
OM-RGC.v2.016480406	DS	0.08 	91
DSM_0253988550	DS	0.08 	325
DSM_0098395545	DS	0.08 	417
Soil_0049704928	DS	0.08 	274
DSM_0057574387	DS	0.08 	327
DSM_0091508111	DS	0.08 	445
DSM_0284727814	DS	0.08 	144
DSM_0481950447	DS	0.08 	118
DSM_0190471875	DS	0.08 	131
Soil_0108167359	DS	0.08 	354
DSM_0446741973	DS	0.08 	118
DSM_0142620235	DS	0.08 	302
DSM_0334661685	DS	0.08 	105
DSM_0074417683	DS	0.08 	105
OM-RGC.v2.040582859	DS	0.08 	328
DSM_0416129025	DS	0.08 	92
DSM_0310672900	DS	0.08 	92
Soil_0069136938	DS	0.08 	289
DSM_0237328718	DS	0.08 	92
Soil_0111015737	DS	0.08 	368
Soil_0077758151	DS	0.08 	145
Soil_0070151089	DS	0.08 	79
DSM_0121511694	DS	0.08 	79
DSM_0492034519	DS	0.08 	145
DSM_0402955150	DS	0.08 	79
DSM_0196975447	DS	0.08 	382
OM-RGC.v2.038676648	DS	0.08 	198
Soil_0112983701	DS	0.08 	66
Soil_0029647428	DS	0.08 	66
DSM_0078916219	DS	0.08 	409
DSM_0261112013	DS	0.08 	66
Soil_0107361350	DS	0.08 	132
DSM_0429345014	DS	0.08 	185
OM-RGC.v2.019167160	DS	0.08 	172
Soil_0151727022	DS	0.08 	225
Soil_0144958070	DS	0.08 	172
DSM_0367428109	DS	0.08 	371
DSM_0288101254	DS	0.08 	53
Soil_0052420945	DS	0.08 	106
Soil_0120419886	DS	0.08 	53
DSM_0315816517	DS	0.08 	106
DSM_0070175827	DS	0.08 	53
DSM_0381196304	DS	0.08 	384
Soil_0124814323	DS	0.08 	279
DSM_0026541754	DS	0.08 	93
DSM_0477822513	DS	0.08 	93
DSM_0460552732	DS	0.08 	186
DSM_0036092783	DS	0.08 	226
DSM_0383723996	DS	0.08 	399
DSM_0076542182	DS	0.08 	306
Soil_0091262632	DS	0.08 	319
Soil_0034277947	DS	0.08 	373
Soil_0130251380	DS	0.08 	253
DSM_0322527183	DS	0.08 	373
DSM_0259682427	DS	0.08 	333
DSM_0365754122	DS	0.08 	40
DSM_0366584672	DS	0.08 	40
DSM_0487624963	DS	0.08 	120
DSM_0361422578	DS	0.07 	267
DSM_0457910311	DS	0.07 	427
Soil_0151272915	DS	0.07 	187
DSM_0037103168	DS	0.07 	187
DSM_0035646083	DS	0.07 	107
Soil_0099822440	DS	0.07 	107
Soil_0102398162	DS	0.07 	134
DSM_0068507077	DS	0.07 	134
DSM_0086724531	DS	0.07 	134
OM-RGC.v2.039369214	DS	0.07 	67
DSM_0233730088	DS	0.07 	67
DSM_0114937164	DS	0.07 	295
DSM_0200966611	DS	0.07 	362
Soil_0124576382	DS	0.07 	201
DSM_0490886858	DS	0.07 	416
Soil_0108015672	DS	0.07 	94
Soil_0065218419	DS	0.07 	161
DSM_0004314387	DS	0.07 	255
Soil_0147962093	DS	0.07 	188
DSM_0028075940	DS	0.07 	282
DSM_0222518169	DS	0.07 	121
DSM_0326363628	DS	0.07 	336
DSM_0104349736	DS	0.07 	336
DSM_0010355994	DS	0.07 	296
DSM_0371624792	DS	0.07 	417
Soil_0002739153	DS	0.07 	337
DSM_0171201234	DS	0.07 	81
DSM_0267518939	DS	0.07 	27
Soil_0053599020	DS	0.07 	27
Soil_0022289162	DS	0.07 	27
DSM_0078649934	DS	0.07 	81
Soil_0145131719	DS	0.07 	27
Soil_0064751973	DS	0.07 	419
OM-RGC.v2.000304352	DS	0.07 	230
DSM_0010967396	DS	0.07 	122
DSM_0398218970	DS	0.07 	420
DSM_0236676237	DS	0.07 	298
DSM_0020913672	DS	0.07 	122
DSM_0050441384	DS	0.07 	217
DSM_0057632022	DS	0.07 	190
DSM_0086311695	DS	0.07 	367
DSM_0384151839	DS	0.07 	326
Soil_0098697174	DS	0.07 	68
DSM_0389784674	DS	0.07 	136
DSM_0389653824	DS	0.07 	313
Soil_0070136791	DS	0.07 	68
DSM_0341575815	DS	0.07 	272
Soil_0031248604	DS	0.07 	340
OM-RGC.v2.018987240	DS	0.07 	109
DSM_0101934778	DS	0.07 	109
Soil_0124741315	DS	0.07 	191
Soil_0069765796	DS	0.07 	150
DSM_0443141837	DS	0.07 	300
DSM_0282349680	DS	0.07 	191
DSM_0058556076	DS	0.07 	191
Soil_0027272313	DS	0.07 	82
Soil_0054940292	DS	0.07 	41
DSM_0445614343	DS	0.07 	41
DSM_0264266175	DS	0.07 	246
DSM_0185060135	DS	0.07 	205
Soil_0089857545	DS	0.07 	41
DSM_0412693536	DS	0.07 	41
DSM_0215089839	DS	0.07 	164
Soil_0002287820	DS	0.07 	260
Soil_0146848444	DS	0.07 	219
DSM_0419178549	DS	0.07 	233
DSM_0111744012	DS	0.07 	178
DSM_0381865089	DS	0.07 	274
DSM_0099332532	DS	0.07 	315
Soil_0134280411	DS	0.07 	425
DSM_0220204007	DS	0.07 	192
DSM_0204720404	DS	0.07 	261
Soil_0083139894	DS	0.07 	151
OM-RGC.v2.030395755	DS	0.07 	206
DSM_0078509490	DS	0.07 	220
Soil_0009200071	DS	0.07 	55
DSM_0076867914	DS	0.07 	55
DSM_0164476883	DS	0.07 	289
DSM_0477078611	DS	0.07 	234
DSM_0078899880	DS	0.07 	138
Soil_0113682535	DS	0.07 	69
DSM_0193008916	DS	0.07 	262
Soil_0141819263	DS	0.07 	193
Soil_0124923527	DS	0.07 	69
DSM_0007095628	DS	0.07 	138
DSM_0346875851	DS	0.07 	69
Soil_0013960617	DS	0.07 	152
DSM_0300304383	DS	0.07 	290
DSM_0097595128	DS	0.07 	83
DSM_0012787974	DS	0.07 	166
OM-RGC.v2.034490927	DS	0.07 	180
DSM_0463028062	DS	0.07 	388
DSM_0127190602	DS	0.07 	97
DSM_0435683136	DS	0.07 	208
DSM_0115259559	DS	0.07 	111
DSM_0407944386	DS	0.07 	111
DSM_0318782268	DS	0.07 	361
Soil_0013975239	DS	0.07 	264
DSM_0453810173	DS	0.07 	125
DSM_0374423931	DS	0.07 	209
DSM_0475365559	DS	0.07 	181
DSM_0206803643	DS	0.07 	404
DSM_0251070763	DS	0.07 	376
DSM_0387013392	DS	0.07 	251
DSM_0185692792	DS	0.07 	251
Soil_0013701965	DS	0.07 	265
OM-RGC.v2.016889355	DS	0.07 	251
DSM_0071501085	DS	0.07 	154
Soil_0151366388	DS	0.07 	70
Soil_0041309390	DS	0.07 	70
DSM_0288830768	DS	0.07 	14
DSM_0483532016	DS	0.07 	56
DSM_0100156101	DS	0.07 	28
DSM_0200017617	DS	0.07 	14
DSM_0170457495	DS	0.07 	84
DSM_0185926866	DS	0.07 	238
DSM_0084061500	DS	0.07 	42
OM-RGC.v2.032638841	DS	0.07 	42
Soil_0125800183	DS	0.07 	14
DSM_0414351051	DS	0.07 	70
DSM_0454690664	DS	0.07 	84
DSM_0198681834	DS	0.07 	56
DSM_0011129862	DS	0.07 	294
Soil_0089604481	DS	0.07 	14
Soil_0099105153	DS	0.07 	14
Soil_0020497740	DS	0.07 	56
Soil_0093177943	DS	0.07 	14
Soil_0066474919	DS	0.07 	42
OM-RGC.v2.033067230	DS	0.07 	14
Soil_0138168426	DS	0.07 	42
DSM_0175751065	DS	0.07 	112
Soil_0115930228	DS	0.07 	42
DSM_0247920853	DS	0.07 	28
DSM_0179398532	DS	0.07 	98
Soil_0132135465	DS	0.07 	14
Soil_0073222695	DS	0.07 	14
DSM_0482611396	DS	0.07 	56
DSM_0212114399	DS	0.07 	210
DSM_0097559642	DS	0.07 	267
DSM_0140382179	DS	0.07 	351
Soil_0002970596	DS	0.07 	365
Soil_0096574468	DS	0.07 	211
DSM_0367481407	DS	0.07 	197
DSM_0446381386	DS	0.07 	169
DSM_0209398433	DS	0.07 	169
DSM_0095974410	DS	0.07 	169
DSM_0022453217	DS	0.07 	352
Soil_0149311074	DS	0.07 	127
DSM_0073131536	DS	0.07 	353
DSM_0309585988	DS	0.07 	113
DSM_0280995411	DS	0.07 	113
DSM_0371302172	DS	0.07 	368
DSM_0030546337	DS	0.07 	198
DSM_0336273757	DS	0.07 	85
Soil_0083310132	DS	0.07 	298
DSM_0291842394	DS	0.07 	156
DSM_0237747506	DS	0.07 	142
DSM_0295375115	DS	0.07 	71
Soil_0056273776	DS	0.07 	71
DSM_0028069654	DS	0.07 	199
DSM_0215538478	DS	0.07 	71
Soil_0098308701	DS	0.07 	370
DSM_0358294726	DS	0.07 	185
DSM_0464052973	DS	0.07 	57
DSM_0329092951	DS	0.07 	57
DSM_0048962321	DS	0.07 	371
DSM_0107085936	DS	0.07 	271
DSM_0037408864	DS	0.07 	214
DSM_0177660333	DS	0.07 	200
DSM_0266048156	DS	0.07 	100
DSM_0482769220	DS	0.07 	229
Soil_0126134539	DS	0.07 	229
Soil_0137439373	DS	0.07 	143
DSM_0482835452	DS	0.07 	358
Soil_0107504535	DS	0.07 	172
DSM_0365832193	DS	0.07 	43
Soil_0130037906	DS	0.07 	43
DSM_0019114235	DS	0.07 	43
Soil_0106498869	DS	0.07 	129
Soil_0077525114	DS	0.07 	43
DSM_0168320578	DS	0.07 	459
DSM_0448102172	DS	0.07 	115
Soil_0137343946	DS	0.07 	158
OM-RGC.v2.028632047	DS	0.07 	158
DSM_0004940826	DS	0.07 	115
DSM_0438326119	DS	0.07 	115
DSM_0121012996	DS	0.07 	331
DSM_0028420035	DS	0.07 	187
DSM_0096716415	DS	0.07 	417
DSM_0133712473	DS	0.07 	72
DSM_0478374439	DS	0.07 	360
DSM_0357573066	DS	0.07 	72
DSM_0262702927	DS	0.07 	144
DSM_0045516883	DS	0.07 	144
DSM_0286415119	DS	0.07 	72
DSM_0459798495	DS	0.07 	72
DSM_0401659595	DS	0.07 	144
DSM_0405081825	DS	0.07 	216
DSM_0469217767	DS	0.07 	72
Soil_0089641187	DS	0.07 	101
DSM_0281057968	DS	0.07 	274
Soil_0107551109	DS	0.07 	130
Soil_0053670639	DS	0.07 	159
Soil_0089093629	DS	0.07 	159
Soil_0041341374	DS	0.07 	130
Soil_0075172541	DS	0.07 	130
Soil_0141987615	DS	0.07 	159
DSM_0034829276	DS	0.07 	289
DSM_0242519263	DS	0.07 	289
DSM_0501328076	DS	0.07 	188
DSM_0174698295	DS	0.07 	87
DSM_0150878828	DS	0.07 	58
Soil_0022414928	DS	0.07 	29
DSM_0117925108	DS	0.07 	29
DSM_0402872715	DS	0.07 	58
Soil_0129114890	DS	0.07 	29
DSM_0466309201	DS	0.07 	29
DSM_0432015526	DS	0.07 	29
DSM_0176559318	DS	0.07 	116
OM-RGC.v2.044603940	DS	0.07 	29
DSM_0218202937	DS	0.07 	58
DSM_0169879138	DS	0.07 	29
DSM_0288006008	DS	0.07 	29
DSM_0319384176	DS	0.07 	349
Soil_0123092068	DS	0.07 	349
DSM_0337618438	DS	0.07 	291
OM-RGC.v2.010104289	DS	0.07 	131
Soil_0096622269	DS	0.07 	131
Soil_0149319236	DS	0.07 	408
Soil_0028240811	DS	0.07 	204
DSM_0408299565	DS	0.07 	204
DSM_0475938052	DS	0.07 	219
DSM_0350668124	DS	0.07 	146
Soil_0085868416	DS	0.07 	73
DSM_0125878645	DS	0.07 	292
Soil_0138988484	DS	0.07 	73
DSM_0030524876	DS	0.07 	117
Soil_0060227718	DS	0.07 	161
DSM_0136806379	DS	0.07 	88
DSM_0254766839	DS	0.07 	44
DSM_0189333023	DS	0.07 	44
DSM_0019549660	DS	0.07 	176
Soil_0035960947	DS	0.07 	44
Soil_0072085922	DS	0.07 	44
Soil_0051144622	DS	0.07 	44
DSM_0066420404	DS	0.07 	132
DSM_0016857708	DS	0.07 	44
DSM_0100395658	DS	0.07 	220
OM-RGC.v2.022248924	DS	0.07 	44
Soil_0032407135	DS	0.07 	308
DSM_0028844201	DS	0.07 	235
DSM_0357512782	DS	0.07 	191
DSM_0337072556	DS	0.07 	147
DSM_0395016226	DS	0.07 	147
DSM_0197484497	DS	0.07 	59
DSM_0108374352	DS	0.07 	59
DSM_0071242450	DS	0.07 	295
Soil_0039165136	DS	0.07 	354
DSM_0247557545	DS	0.07 	59
DSM_0205142998	DS	0.07 	369
DSM_0065079135	DS	0.07 	59
Soil_0051603434	DS	0.07 	133
Soil_0063226904	DS	0.07 	310
Soil_0045213141	DS	0.07 	133
Soil_0139743663	DS	0.07 	148
Soil_0025843916	DS	0.07 	74
DSM_0328086741	DS	0.07 	281
DSM_0174261435	DS	0.07 	296
DSM_0028475894	DS	0.07 	370
DSM_0026348561	DS	0.07 	148
DSM_0461724139	DS	0.07 	163
DSM_0237626287	DS	0.07 	163
Soil_0037673732	DS	0.07 	267
DSM_0419033256	DS	0.07 	193
DSM_0225862016	DS	0.07 	178
DSM_0020226808	DS	0.07 	267
DSM_0452303881	DS	0.07 	104
Soil_0085705545	DS	0.07 	104
DSM_0270121655	DS	0.07 	387
DSM_0108424780	DS	0.07 	149
DSM_0016817881	DS	0.07 	164
DSM_0253325662	DS	0.07 	403
DSM_0069530638	DS	0.07 	194
DSM_0132555954	DS	0.07 	269
DSM_0228151767	DS	0.07 	359
DSM_0063688142	DS	0.07 	254
DSM_0031204206	DS	0.07 	284
Soil_0142532446	DS	0.07 	90
DSM_0035536245	DS	0.07 	105
DSM_0498032246	DS	0.07 	15
OM-RGC.v2.028579434	DS	0.07 	15
DSM_0281604761	DS	0.07 	150
Soil_0027678279	DS	0.07 	15
DSM_0091924003	DS	0.07 	120
DSM_0164549471	DS	0.07 	60
Soil_0013183242	DS	0.07 	15
Soil_0149304889	DS	0.07 	75
Soil_0132459110	DS	0.07 	30
DSM_0492429316	DS	0.07 	195
DSM_0092489428	DS	0.07 	120
DSM_0072897986	DS	0.07 	180
DSM_0049753554	DS	0.07 	15
DSM_0206351192	DS	0.07 	30
Soil_0130713993	DS	0.07 	30
DSM_0245923888	DS	0.07 	120
DSM_0086422472	DS	0.07 	30
DSM_0299769775	DS	0.07 	30
DSM_0100746453	DS	0.07 	15
Soil_0155643125	DS	0.07 	15
Soil_0073481364	DS	0.07 	45
DSM_0450197471	DS	0.07 	15
DSM_0070311427	DS	0.07 	30
Soil_0058348352	DS	0.07 	90
Soil_0046988196	DS	0.07 	105
Soil_0101810740	DS	0.07 	120
DSM_0334484292	DS	0.07 	75
Soil_0066139845	DS	0.07 	60
DSM_0199269077	DS	0.07 	30
DSM_0169304998	DS	0.07 	30
Soil_0024845194	DS	0.07 	30
DSM_0125575652	DS	0.07 	105
OM-RGC.v2.007868494	DS	0.07 	15
DSM_0039837383	DS	0.07 	195
DSM_0355507571	DS	0.07 	30
OM-RGC.v2.029955248	DS	0.07 	60
Soil_0143001465	DS	0.07 	376
Soil_0018018426	DS	0.07 	316
DSM_0352056738	DS	0.07 	316
DSM_0489577129	DS	0.07 	256
DSM_0379217651	DS	0.07 	181
DSM_0346773696	DS	0.07 	166
DSM_0298519383	DS	0.07 	181
DSM_0450862550	DS	0.07 	136
DSM_0088469638	DS	0.07 	151
DSM_0110161835	DS	0.07 	151
DSM_0398189523	DS	0.07 	378
Soil_0138385703	DS	0.07 	212
Soil_0015521145	DS	0.07 	167
DSM_0033027297	DS	0.07 	91
DSM_0261316778	DS	0.07 	91
DSM_0046651445	DS	0.07 	349
DSM_0142222628	DS	0.07 	91
DSM_0066064380	DS	0.07 	76
OM-RGC.v2.037223855	DS	0.07 	243
DSM_0288909565	DS	0.07 	365
Soil_0042221856	DS	0.07 	76
OM-RGC.v2.023607563	DS	0.07 	198
DSM_0414535422	DS	0.07 	289
DSM_0134715738	DS	0.07 	137
DSM_0388453874	DS	0.07 	213
DSM_0362761555	DS	0.07 	213
DSM_0213613863	DS	0.07 	472
DSM_0492941324	DS	0.07 	183
Soil_0090894000	DS	0.07 	61
DSM_0169902750	DS	0.07 	61
